iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,,,,
CHN,China,1445478920.00,"1,439,323,776","9,706,961 sq_km",149/sq_km,0.34,18.34%,1,,,,0.00
IND,India,1396911098.00,"1,380,004,385","3,287,590 sq_km",424/sq_km,0.97,17.69%,2,,,,0.01
USA,United States of America,333421822.00,"331,002,651","9,372,610 sq_km",36/sq_km,0.58,4.23%,3,,,,0.01
IDN,Indonesia,277104378.00,"273,523,615","1,904,569 sq_km",145/sq_km,1.04,3.51%,4,,,,0.01
PAK,Pakistan,226318988.00,"220,892,340","881,912 sq_km",255/sq_km,1.95,2.86%,5,,,,0.02
BRA,Brazil,214365499.00,"212,559,417","8,515,767 sq_km",25/sq_km,0.67,2.72%,6,,,,0.01
NGA,Nigeria,212777766.00,"206,139,589","923,768 sq_km",229/sq_km,2.55,2.68%,7,,,,0.03
BGD,Bangladesh,166721888.00,"164,689,383","147,570 sq_km","1,127/sq_km",0.98,2.11%,8,,,,0.01
RUS,Russia,145906676.00,"145,934,462","17,098,242 sq_km",9/sq_km,-0.02,1.85%,9,,,,0.00
MEX,Mexico,130609633.00,"128,932,753","1,964,375 sq_km",66/sq_km,1.03,1.65%,10,,,,0.01
JPN,Japan,125940762.00,"126,476,461","377,930 sq_km",334/sq_km,-0.34,1.60%,11,,,,0.00
ETH,Ethiopia,118636016.00,"114,963,588","1,104,300 sq_km",107/sq_km,2.53,1.50%,12,,,,0.03
PHL,Philippines,111430820.00,"109,581,078","342,353 sq_km",324/sq_km,1.34,1.41%,13,,,,0.01
EGY,Egypt,104760204.00,"102,334,404","1,002,450 sq_km",104/sq_km,1.88,1.32%,14,,,,0.02
VNM,Vietnam,98384715.00,"97,338,579","331,212 sq_km",296/sq_km,0.85,1.25%,15,,,,0.01
COD,Dr Congo,93113997.00,"89,561,403","2,344,858 sq_km",39/sq_km,3.14,1.17%,16,,,,0.03
TUR,Turkey,85238655.00,"84,339,067","783,562 sq_km",109/sq_km,0.83,1.08%,17,,,,0.01
IRN,Iran,85293931.00,"83,992,949","1,648,195 sq_km",52/sq_km,1.23,1.08%,18,,,,0.01
DEU,Germany,83933810.00,"83,783,942","357,114 sq_km",235/sq_km,0.14,1.07%,19,,,,0.00
