iso_code,Country,Population,2020_population,area,density_sq_km,growth,world_%,rank,Continent,,,
CHN,Afghanistan,40074426,"38,928,346","652,230 sq_km",61/sq_km,2.33,0.51%,37,Asia,,,0.02
IND,Albania,2871500,"2,877,797","28,748 sq_km",100/sq_km,-0.17,0.04%,140,Europe,,,0
USA,Algeria,44813974,"43,851,044","2,381,741 sq_km",19/sq_km,1.75,0.57%,34,Africa,,,0.02
IDN,American Samoa,55100,"55,191",199 sq_km,277/sq_km,-0.16,0.00%,209,Oceania,,,0
PAK,Andorra,77355,"77,265",468 sq_km,165/sq_km,0.12,0.00%,202,Europe,,,0
BRA,Angola,34213970,"32,866,272","1,246,700 sq_km",27/sq_km,3.25,0.43%,43,Africa,,,0.03
NGA,Anguilla,15117,"15,003",91 sq_km,166/sq_km,0.76,0.00%,222,,,,0.01
BGD,Antigua And Barbuda,98922,"97,929",442 sq_km,223/sq_km,0.82,0.00%,200,Antigua and Barbuda,,,0.01
RUS,Argentina,45712907,"45,195,774","2,780,400 sq_km",16/sq_km,0.91,0.58%,32,Argentina,,,0.01
MEX,Armenia,2969369,"2,963,243","29,743 sq_km",100/sq_km,0.16,0.04%,138,Armenia,,,0
JPN,Aruba,107204,"106,766",180 sq_km,596/sq_km,0.41,0.00%,196,,,,0
ETH,Australia,25864347,"25,499,884","7,692,024 sq_km",3/sq_km,1.13,0.33%,55,Oceania,,,0.01
PHL,Austria,9053004,"9,006,398","83,871 sq_km",108/sq_km,0.41,0.11%,98,Europe,,,0
EGY,Azerbaijan,10245312,"10,139,177","86,600 sq_km",118/sq_km,0.83,0.13%,89,Europe,,,0.01
VNM,Bahamas,397868,"393,244","13,943 sq_km",28/sq_km,0.93,0.01%,178,North America,,,0.01
COD,Bahrain,1760332,"1,701,575",765 sq_km,"2,285/sq_km",2.75,0.02%,152,Asia,,,0.03
TUR,Bangladesh,166721888,"164,689,383","147,570 sq_km","1,127/sq_km",0.98,2.11%,8,Asia,,,0.01
IRN,Barbados,287807,"287,375",430 sq_km,669/sq_km,0.12,0.00%,184,North America,,,0
DEU,Belarus,9441047,"9,449,323","207,600 sq_km",45/sq_km,-0.07,0.12%,96,Europe,,,0
THA,Belgium,11643884,"11,589,623","30,528 sq_km",381/sq_km,0.37,0.15%,81,Europe,,,0
GBR,Belize,406824,"397,628","22,966 sq_km",18/sq_km,1.83,0.01%,176,North America,,,0.02
